Year,Month,Branch,turnover,cost,gross_profit,expencess,net_profit
2022,December,Nittambuwa,1897525,1522212,375312,127290,248022
2023,January,Nittambuwa,1974110,1579263,394847,137553,257294
2023,February,Nittambuwa,1610702,1296025,314676,121272,193404
2023,March,Nittambuwa,2322883,2013231,309652,119645,190007
2023,April,Nittambuwa,2181847,1747981,433866,145520,288346
2023,May,Nittambuwa,2249763,1810894,438868,136235,302633
2023,June,Nittambuwa,1986579,160459,381988,135370,246618
2023,July,Nittambuwa,1944932,1578500,366432,126610,239822
2023,August,Nittambuwa,2730039,2136122,593917,146090,447827
2023,September,Nittambuwa,1861753,1488293,373460,153160,220300
2023,October,Nittambuwa,2102663,1667946,434716,166390,268326
2023,November,Nittambuwa,2046059,1604436,441622,143586,298036
2023,December,Nittambuwa,2456957,1941945,515011,160270,354741
2024,January,Nittambuwa,2471282,1918647,552635,171930,380705
2024,February,Nittambuwa,2008867,158447,424419,158970,265449
2024,March,Nittambuwa,2504467,1953420,551047,161743,389304
2024,April,Nittambuwa,2601598,2060842,540755,179451,361304
2024,May,Nittambuwa,2321467,1805414,516052,167005,349047
2024,June,Nittambuwa,2457023,1915910,541112,174283,366829
2024,July,Nittambuwa,2443216,1933248,509967,170445,339522
2024,August,Nittambuwa,2858330,2230021,628308,176520,451788
2024,September,Nittambuwa,2489648,1969402,520245,180250,339995
2024,October,Nittambuwa,2462081,1951727,510353,171865,338488
2022,December,Gampaha,2524994,2051498,473495,128422,345073
2023,January,Gampaha,2473962,1999801,474160,134250,339910
2023,February,Gampaha,2137202,1738017,399184,126240,272944
2023,March,Gampaha,2474739,2011743,462996,142120,320876
2023,April,Gampaha,2701177,2214332,486844,151320,335524
2023,May,Gampaha,2587811,2082404,505407,150200,355207
2023,June,Gampaha,2427711,1966292,461418,149402,312016
2023,July,Gampaha,2507674,2027344,480329,158201,322128
2023,August,Gampaha,2990685,2430597,560087,156200,403887
2023,September,Gampaha,2541350,2064176,477173,146455,330718
2023,October,Gampaha,2502664,2033522,469142,151840,317302
2023,November,Gampaha,2332491,1868223,464267,153610,310657
2023,December,Gampaha,3098345,2481512,616832,152250,464582
2024,January,Gampaha,3042033,2375730,666302,134680,531622
2024,February,Gampaha,2497694,1949830,547863,154588,393275
2024,March,Gampaha,2816277,2210800,605476,164782,440694
2024,April,Gampaha,2910088,2272369,637718,160659,477059
2024,May,Gampaha,2520323,1935563,584759,153410,431349
2024,June,Gampaha,2605775,2029514,576260,163029,413231
2024,July,Gampaha,2463631,1936247,527383,148935,378448
2024,August,Gampaha,3043872,2403287,640584,158640,481944
2024,September,Gampaha,2594506,2034378,560127,158480,401647
2024,October,Gampaha,2734416,2133197,601218,153205,448013
